0,1,2,P,0.72
1,20,P,0.07
0,1,5,P,0.03
0,1,4,P,0.03
0,1,29,P,0.03
0,1,82,P,0.02
0,1,81,P,0.02
0,1,32,P,0.02
1,16,2,P,0.01
1,15,P,0.01
1,14,2,P,0.01
0,1,66,P,0.01
0,1,31,P,0.01
0,1,25,P,0.01
1,11,P,0.0
